id;sample;species;part;year;biomass
LM_10_1;B.nana_C;B.nana;C;2010;0
LM_10_1;B.nana_IFR;B.nana;IFR;2010;0
LM_10_1;B.pubescens_C;B.pubescens;C;2010;0
LM_10_1;D.octopetala_L;D.octopetala;L;2010;35,75240128
LM_10_1;E.nigrum_B;E.nigrum;B;2010;0
LM_10_1;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_1;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_1;Vaccinium_B;Vaccinium;B;2010;0
LM_10_11;B.nana_C;B.nana;C;2010;0
LM_10_11;B.nana_IFR;B.nana;IFR;2010;0
LM_10_11;B.pubescens_C;B.pubescens;C;2010;0
LM_10_11;D.octopetala_L;D.octopetala;L;2010;24,61783598
LM_10_11;E.nigrum_B;E.nigrum;B;2010;0
LM_10_11;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_11;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_11;Vaccinium_B;Vaccinium;B;2010;0
LM_10_12;B.nana_C;B.nana;C;2010;0
LM_10_12;B.nana_IFR;B.nana;IFR;2010;0
LM_10_12;B.pubescens_C;B.pubescens;C;2010;0
LM_10_12;D.octopetala_L;D.octopetala;L;2010;0
LM_10_12;E.nigrum_B;E.nigrum;B;2010;0
LM_10_12;S.herbacea_Sb;S.herbacea;Sb;2010;72,02
LM_10_12;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_12;Vaccinium_B;Vaccinium;B;2010;0
LM_10_131;B.nana_C;B.nana;C;2010;0
LM_10_131;B.nana_IFR;B.nana;IFR;2010;0
LM_10_131;B.pubescens_C;B.pubescens;C;2010;0
LM_10_131;D.octopetala_L;D.octopetala;L;2010;0
LM_10_131;E.nigrum_B;E.nigrum;B;2010;0
LM_10_131;S.herbacea_Sb;S.herbacea;Sb;2010;80,90749321
LM_10_131;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_131;Vaccinium_B;Vaccinium;B;2010;0
LM_10_134;B.nana_C;B.nana;C;2010;0
LM_10_134;B.nana_IFR;B.nana;IFR;2010;0
LM_10_134;B.pubescens_C;B.pubescens;C;2010;0
LM_10_134;D.octopetala_L;D.octopetala;L;2010;0
LM_10_134;E.nigrum_B;E.nigrum;B;2010;0
LM_10_134;S.herbacea_Sb;S.herbacea;Sb;2010;73,16523165
LM_10_134;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_134;Vaccinium_B;Vaccinium;B;2010;0
LM_10_191;B.nana_C;B.nana;C;2010;0
LM_10_191;B.nana_IFR;B.nana;IFR;2010;36,39680555
LM_10_191;B.pubescens_C;B.pubescens;C;2010;0
LM_10_191;D.octopetala_L;D.octopetala;L;2010;0
LM_10_191;E.nigrum_B;E.nigrum;B;2010;0
LM_10_191;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_191;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_191;Vaccinium_B;Vaccinium;B;2010;41,27522772
LM_10_200;B.nana_C;B.nana;C;2010;0
LM_10_200;B.nana_IFR;B.nana;IFR;2010;0
LM_10_200;B.pubescens_C;B.pubescens;C;2010;0
LM_10_200;D.octopetala_L;D.octopetala;L;2010;0
LM_10_200;E.nigrum_B;E.nigrum;B;2010;0
LM_10_200;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_200;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;58,79332478
LM_10_200;Vaccinium_B;Vaccinium;B;2010;0
LM_10_220;B.nana_C;B.nana;C;2010;0
LM_10_220;B.nana_IFR;B.nana;IFR;2010;0
LM_10_220;B.pubescens_C;B.pubescens;C;2010;20,42636422
LM_10_220;D.octopetala_L;D.octopetala;L;2010;33,61216356
LM_10_220;E.nigrum_B;E.nigrum;B;2010;0
LM_10_220;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_220;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_220;Vaccinium_B;Vaccinium;B;2010;14,62505536
LM_10_226;B.nana_C;B.nana;C;2010;0
LM_10_226;B.nana_IFR;B.nana;IFR;2010;0
LM_10_226;B.pubescens_C;B.pubescens;C;2010;51,08243616
LM_10_226;D.octopetala_L;D.octopetala;L;2010;0
LM_10_226;E.nigrum_B;E.nigrum;B;2010;0
LM_10_226;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_226;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_226;Vaccinium_B;Vaccinium;B;2010;0
LM_10_23;B.nana_C;B.nana;C;2010;0
LM_10_23;B.nana_IFR;B.nana;IFR;2010;0
LM_10_23;B.pubescens_C;B.pubescens;C;2010;0
LM_10_23;D.octopetala_L;D.octopetala;L;2010;0
LM_10_23;E.nigrum_B;E.nigrum;B;2010;21,01
LM_10_23;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_23;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_23;Vaccinium_B;Vaccinium;B;2010;53,90574144
LM_10_23;Vaccinium_B;Vaccinium;B;2010;53,91
LM_10_24;B.nana_C;B.nana;C;2010;0
LM_10_24;B.nana_IFR;B.nana;IFR;2010;0
LM_10_24;B.pubescens_C;B.pubescens;C;2010;0
LM_10_24;D.octopetala_L;D.octopetala;L;2010;0
LM_10_24;E.nigrum_B;E.nigrum;B;2010;0
LM_10_24;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_24;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_24;Vaccinium_B;Vaccinium;B;2010;73,07372275
LM_10_257;B.nana_C;B.nana;C;2010;0
LM_10_257;B.nana_IFR;B.nana;IFR;2010;0
LM_10_257;B.pubescens_C;B.pubescens;C;2010;58,87715616
LM_10_257;D.octopetala_L;D.octopetala;L;2010;0
LM_10_257;E.nigrum_B;E.nigrum;B;2010;0
LM_10_257;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_257;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_257;Vaccinium_B;Vaccinium;B;2010;0
LM_10_258;B.nana_C;B.nana;C;2010;0
LM_10_258;B.nana_IFR;B.nana;IFR;2010;37,64184638
LM_10_258;B.pubescens_C;B.pubescens;C;2010;0
LM_10_258;D.octopetala_L;D.octopetala;L;2010;0
LM_10_258;E.nigrum_B;E.nigrum;B;2010;0
LM_10_258;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_258;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_258;Vaccinium_B;Vaccinium;B;2010;0
LM_10_265;B.nana_C;B.nana;C;2010;0
LM_10_265;B.nana_IFR;B.nana;IFR;2010;0
LM_10_265;B.pubescens_C;B.pubescens;C;2010;0
LM_10_265;D.octopetala_L;D.octopetala;L;2010;0
LM_10_265;E.nigrum_B;E.nigrum;B;2010;0
LM_10_265;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_265;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_265;Vaccinium_B;Vaccinium;B;2010;64,13913439
LM_10_268;B.nana_C;B.nana;C;2010;0
LM_10_268;B.nana_IFR;B.nana;IFR;2010;0
LM_10_268;B.pubescens_C;B.pubescens;C;2010;0
LM_10_268;D.octopetala_L;D.octopetala;L;2010;0
LM_10_268;E.nigrum_B;E.nigrum;B;2010;0
LM_10_268;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_268;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_268;Vaccinium_B;Vaccinium;B;2010;26,49
LM_10_270;B.nana_C;B.nana;C;2010;0
LM_10_270;B.nana_IFR;B.nana;IFR;2010;52,14563646
LM_10_270;B.pubescens_C;B.pubescens;C;2010;0
LM_10_270;D.octopetala_L;D.octopetala;L;2010;0
LM_10_270;E.nigrum_B;E.nigrum;B;2010;0
LM_10_270;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_270;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_270;Vaccinium_B;Vaccinium;B;2010;0
LM_10_287;B.nana_C;B.nana;C;2010;0
LM_10_287;B.nana_IFR;B.nana;IFR;2010;0
LM_10_287;B.pubescens_C;B.pubescens;C;2010;0
LM_10_287;D.octopetala_L;D.octopetala;L;2010;29,24432082
LM_10_287;E.nigrum_B;E.nigrum;B;2010;0
LM_10_287;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_287;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_287;Vaccinium_B;Vaccinium;B;2010;0
LM_10_295;B.nana_C;B.nana;C;2010;0
LM_10_295;B.nana_IFR;B.nana;IFR;2010;0
LM_10_295;B.pubescens_C;B.pubescens;C;2010;24,57733847
LM_10_295;D.octopetala_L;D.octopetala;L;2010;35,33056011
LM_10_295;E.nigrum_B;E.nigrum;B;2010;2,94
LM_10_295;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_295;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_295;Vaccinium_B;Vaccinium;B;2010;22,16
LM_10_324;B.nana_C;B.nana;C;2010;0
LM_10_324;B.nana_IFR;B.nana;IFR;2010;0
LM_10_324;B.pubescens_C;B.pubescens;C;2010;47,4122807
LM_10_324;D.octopetala_L;D.octopetala;L;2010;0
LM_10_324;E.nigrum_B;E.nigrum;B;2010;0
LM_10_324;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_324;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_324;Vaccinium_B;Vaccinium;B;2010;0
LM_10_327;B.nana_C;B.nana;C;2010;0
LM_10_327;B.nana_IFR;B.nana;IFR;2010;38,49634528
LM_10_327;B.pubescens_C;B.pubescens;C;2010;0
LM_10_327;D.octopetala_L;D.octopetala;L;2010;0
LM_10_327;E.nigrum_B;E.nigrum;B;2010;0
LM_10_327;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_327;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_327;Vaccinium_B;Vaccinium;B;2010;0
LM_10_34;B.nana_C;B.nana;C;2010;0
LM_10_34;B.nana_IFR;B.nana;IFR;2010;0
LM_10_34;B.pubescens_C;B.pubescens;C;2010;0
LM_10_34;D.octopetala_L;D.octopetala;L;2010;0
LM_10_34;E.nigrum_B;E.nigrum;B;2010;0
LM_10_34;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_34;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_34;Vaccinium_B;Vaccinium;B;2010;57,10642533
LM_10_53;B.nana_C;B.nana;C;2010;0
LM_10_53;B.nana_IFR;B.nana;IFR;2010;63,45495495
LM_10_53;B.pubescens_C;B.pubescens;C;2010;0
LM_10_53;D.octopetala_L;D.octopetala;L;2010;0
LM_10_53;E.nigrum_B;E.nigrum;B;2010;0
LM_10_53;S.herbacea_Sb;S.herbacea;Sb;2010;0
LM_10_53;S.phylicifolia_Sb;S.phylicifolia;Sb;2010;0
LM_10_53;Vaccinium_B;Vaccinium;B;2010;0
LM_10_67;B.nana_C;B.nana;C;2010;0
LM_10_67;B.nana_IFR;B.nana;IFR;2010;0
LM_10_67;B.pubescens_C;B.pubescens;C;2010;0
