wavenumber;PC1
3996,415;-0,000715929
3994,487;-0,000628107
3992,558;-0,000344191
3990,629;0,000389
3988,7;0,000772617
3986,772;0,000483683
3984,843;-8,08E-05
3982,914;-0,000783983
3980,985;-0,001496877
3979,057;-0,001640339
3977,128;-0,00092945
3975,199;2,47E-05
3973,27;0,000499308
3971,341;0,000471756
3969,413;0,000172051
3967,484;-0,000263447
3965,555;-0,000395505
3963,626;0,000159328
3961,698;0,000728354
3959,769;0,000460198
3957,84;-5,65E-05
3955,911;7,84E-05
3953,982;0,000728912
3952,054;0,001436158
3950,125;0,001726147
3948,196;0,001182656
3946,267;0,000745489
3944,339;0,001147244
3942,41;0,001441965
3940,481;0,001207271
3938,552;0,001142149
3936,624;0,001472646
3934,695;0,001751012
3932,766;0,001461458
3930,837;0,001058201
3928,908;0,001080622
3926,98;0,001029272
3925,051;0,00069789
3923,122;0,000851737
3921,193;0,00167156
3919,265;0,002337433
3917,336;0,001757802
3915,407;0,000288179
3913,478;-0,000304201
3911,549;0,000132483
3909,621;0,000953754
3907,692;0,002148089
3905,763;0,003257993
3903,834;0,003477828
3901,906;0,002712406
3899,977;0,001781335
3898,048;0,001675403
3896,119;0,00252704
3894,191;0,003521113
3892,262;0,003268687
3890,333;0,002269824
3888,404;0,002605631
3886,475;0,003083244
3884,547;0,002667065
3882,618;0,002534212
3880,689;0,00206148
3878,76;0,001869385
3876,832;0,002831442
3874,903;0,003669724
3872,974;0,004658769
3871,045;0,005269231
3869,117;0,004165472
3867,188;0,003541018
3865,259;0,003458443
3863,33;0,002351355
3861,401;0,001560433
3859,473;0,002717147
3857,544;0,00525438
3855,615;0,006704178
3853,686;0,003949026
3851,758;0,000921934
3849,829;0,001418248
3847,9;0,0026082
3845,971;0,003179435
3844,042;0,003713248
3842,114;0,005055694
3840,185;0,006247975
3838,256;0,005737266
3836,327;0,004657784
3834,399;0,004365153
3832,47;0,004089214
3830,541;0,004035895
3828,612;0,004551617
3826,684;0,005096561
3824,755;0,006136634
3822,826;0,006995511
3820,897;0,006160377
3818,968;0,005553211
3817,04;0,005088081
3815,111;0,003798542
3813,182;0,00366788
3811,253;0,004817277
3809,325;0,006268001
3807,396;0,006792995
3805,467;0,006450385
3803,538;0,006243882
3801,609;0,005618105
3799,681;0,005569082
3797,752;0,005595895
3795,823;0,004438236
3793,894;0,003642216
3791,966;0,003764312
3790,037;0,004148589
3788,108;0,004809682
3786,179;0,005140452
3784,251;0,005022612
3782,322;0,005523107
3780,393;0,006105873
3778,464;0,005824117
3776,535;0,005729093
3774,607;0,006700301
