sample;id;species;organ;sex_age;elevation;year;biomass;PC1;PC2
LM_7_11_E.nigrum_B_FJ_360_2007;LM_7_11;E.nigrum;B;FJ;360;2007;3,579759128;0.119524603701641;0.0463134345996868
LM_9_92_E.nigrum_B_FJ_302_2009;LM_9_92;E.nigrum;B;FJ;302;2009;6,378400533;-0.0836401644260986;-0.0119884347383539
LM_6_86_E.nigrum_B_FJ_246_2006;LM_6_86;E.nigrum;B;FJ;246;2006;6,513915782;-0.141880044844863;-0.0380187253138847
LM_9_84_D.octopetala_L_MJ_394_2009;LM_9_84;D.octopetala;L;MJ;394;2009;6,614845723;0.0352845332568489;-0.0399268121903595
LM_9_2_E.nigrum_B_MJ_338_2009;LM_9_2;E.nigrum;B;MJ;338;2009;7,348675674;0.0688934809082618;0.0124875717339053
LM_6_49_Vaccinium_B_MJ_204_2006;LM_6_49;Vaccinium;B;MJ;204;2006;7,376191878;0.0221853920455278;0.0377583465547603
LM_14_131_D.octopetala_L_FJ_379_2014;LM_14_131;D.octopetala;L;FJ;379;2014;7,954468549;0.0266163593461243;-0.0414214601499206
LM_14_130_D.octopetala_L_FA_379_2014;LM_14_130;D.octopetala;L;FA;379;2014;9,271202543;-0.0139456730466441;-0.0448182556671928
LM_8_43_B.nana_IFR_IFR_MJ_257_2008;LM_8_43;B.nana;IFR;MJ;257;2008;11,87296795;0.130904581214396;0.061206868042026
LM_11_189_Vaccinium_B_MJ_421_2011;LM_11_189;Vaccinium;B;MJ;421;2011;12,55592575;-0.010727278636473;0.00978811470180109
LM_12_66_E.nigrum_B_FJ_420_2012;LM_12_66;E.nigrum;B;FJ;420;2012;13,60909539;-0.111776829257053;-0.047377667646787
LM_9_14_E.nigrum_B_FJ_370_2009;LM_9_14;E.nigrum;B;FJ;370;2009;13,63892334;-0.120375714021345;-0.0206991706635994
LM_12_66_B.nana_C_C_FJ_420_2012;LM_12_66;B.nana;C;FJ;420;2012;14,01526095;0.0967310949941427;0.0520067238885048
LM_11_137_S.phylicifolia_Sb_MJ_370_2011;LM_11_137;S.phylicifolia;Sb;MJ;370;2011;14,29559821;0.0552597522662112;-0.0360651346630695
LM_11_152_D.octopetala_L_FJ_463_2011;LM_11_152;D.octopetala;L;FJ;463;2011;14,59588353;0.0620077692759009;-0.0365813971278444
LM_10_220_Vaccinium_B_FJ_366_2010;LM_10_220;Vaccinium;B;FJ;366;2010;14,62505536;0.00695422656724762;0.0368366171977066
LM_14_105_S.phylicifolia_Sb_MA_277_2014;LM_14_105;S.phylicifolia;Sb;MA;277;2014;14,97731602;0.0293339380059834;-0.0284878450940078
LM_9_42_Vaccinium_B_MJ_432_2009;LM_9_42;Vaccinium;B;MJ;432;2009;15,10657856;-0.0125968923731184;0.0437024285648289
LM_7_106_Vaccinium_B_MJ_767_2007;LM_7_106;Vaccinium;B;MJ;767;2007;15,25669104;0.0056400668101333;0.0202525837452217
LM_9_89_B.nana_IFR_IFR_MJ_300_2009;LM_9_89;B.nana;IFR;MJ;300;2009;15,26948854;0.103389061470298;0.0543456090857194
LM_7_68_D.octopetala_L_MJ_493_2007;LM_7_68;D.octopetala;L;MJ;493;2007;15,33990776;0.0126690975932435;-0.0367086338223369
LM_6_89_E.nigrum_B_FA_246_2006;LM_6_89;E.nigrum;B;FA;246;2006;15,62607057;-0.118598895988119;-0.0186992396241989
LM_8_33_E.nigrum_B_MJ_370_2008;LM_8_33;E.nigrum;B;MJ;370;2008;15,78002245;-0.0707535983037127;-0.010728750261158
LM_6_49_E.nigrum_B_MJ_204_2006;LM_6_49;E.nigrum;B;MJ;204;2006;16,222748;-0.100274308443698;-0.0276058960106609
LM_12_54_Vaccinium_B_MJ_527_2012;LM_12_54;Vaccinium;B;MJ;527;2012;16,39393553;-0.049855129755382;0.00237567512344344
LM_8_120_E.nigrum_B_MJ_377_2008;LM_8_120;E.nigrum;B;MJ;377;2008;16,54468028;-0.105585531472858;-0.04092718149804
LM_8_124_D.octopetala_L_FJ_381_2008;LM_8_124;D.octopetala;L;FJ;381;2008;17,45729987;0.0541910572384818;-0.0308935996480854
LM_14_37_E.nigrum_B_FJ_370_2014;LM_14_37;E.nigrum;B;FJ;370;2014;18,07650969;-0.104372508592966;-0.0429099984563399
